"mon_year"	"category"	"n"
"Apr-2011"	"law & government"	29
"Apr-2011"	"media & arts"	100
"Apr-2011"	"pets & animals"	22
"Apr-2011"	"religion & philosophy"	12
"Apr-2011"	"science & nature"	25
"Apr-2011"	"shopping"	22
"Apr-2011"	"society & culture"	37
"Apr-2011"	"sports, hobbies, & recreation"	36
"Apr-2011"	"technology"	54
"Apr-2011"	"travel & transportation"	72
"Apr-2011"	"work & money"	107
"Apr-2011"	"writing & language"	29
"Apr-2012"	"clothing, beauty, & fashion"	51
"Apr-2012"	"computers & internet"	123
"Apr-2012"	"education"	36
"Apr-2012"	"food & drink"	51
"Apr-2012"	"grab bag"	34
"Apr-2012"	"health & fitness"	83
"Apr-2012"	"home & garden"	43
"Apr-2012"	"human relations"	109
"Apr-2012"	"law & government"	41
"Apr-2012"	"media & arts"	108
"Apr-2012"	"pets & animals"	24
"Apr-2012"	"religion & philosophy"	6
"Apr-2012"	"science & nature"	14
"Apr-2012"	"shopping"	24
"Apr-2012"	"society & culture"	29
"Apr-2012"	"sports, hobbies, & recreation"	39
"Apr-2012"	"technology"	46
"Apr-2012"	"travel & transportation"	79
"Apr-2012"	"work & money"	92
"Apr-2012"	"writing & language"	32
"Apr-2013"	"clothing, beauty, & fashion"	7
"Apr-2013"	"computers & internet"	40
"Apr-2013"	"education"	9
"Apr-2013"	"food & drink"	11
"Apr-2013"	"grab bag"	14
"Apr-2013"	"health & fitness"	40
"Apr-2013"	"home & garden"	26
"Apr-2013"	"human relations"	50
"Apr-2013"	"law & government"	5
"Apr-2013"	"media & arts"	39
"Apr-2013"	"pets & animals"	7
"Apr-2013"	"religion & philosophy"	3
"Apr-2013"	"science & nature"	2
"Apr-2013"	"shopping"	12
"Apr-2013"	"society & culture"	20
"Apr-2013"	"sports, hobbies, & recreation"	11
"Apr-2013"	"technology"	24
"Apr-2013"	"travel & transportation"	37
"Apr-2013"	"work & money"	35
"Apr-2013"	"writing & language"	15
"Apr-2014"	"clothing, beauty, & fashion"	48
"Apr-2014"	"computers & internet"	80
"Apr-2014"	"education"	29
"Apr-2014"	"food & drink"	38
"Apr-2014"	"grab bag"	33
"Apr-2014"	"health & fitness"	69
"Apr-2014"	"home & garden"	73
"Apr-2014"	"human relations"	89
"Apr-2014"	"law & government"	26
"Apr-2014"	"media & arts"	93
"Apr-2014"	"pets & animals"	11
"Apr-2014"	"religion & philosophy"	3
"Apr-2014"	"science & nature"	20
"Apr-2014"	"shopping"	25
"Apr-2014"	"society & culture"	20
"Apr-2014"	"sports, hobbies, & recreation"	29
"Apr-2014"	"technology"	52
